venue,base,n_windows,bid_500_min,bid_500_med,bid_500_max,bid_500_winok,bid_1000_min,bid_1000_med,bid_1000_max,bid_1000_winok,bid_2500_min,bid_2500_med,bid_2500_max,bid_2500_winok,bid_5000_min,bid_5000_med,bid_5000_max,bid_5000_winok,bid_10000_min,bid_10000_med,bid_10000_max,bid_10000_winok,bid_25000_min,bid_25000_med,bid_25000_max,bid_25000_winok,ask_500_min,ask_500_med,ask_500_max,ask_500_winok,ask_1000_min,ask_1000_med,ask_1000_max,ask_1000_winok,ask_2500_min,ask_2500_med,ask_2500_max,ask_2500_winok,ask_5000_min,ask_5000_med,ask_5000_max,ask_5000_winok,ask_10000_min,ask_10000_med,ask_10000_max,ask_10000_winok,ask_25000_min,ask_25000_med,ask_25000_max,ask_25000_winok,spread_med,spread_max
bitget,UAI,9,4.71,6.12,10.65,9,6.04,8.01,15.11,9,7.5,11.29,19.4,9,9.14,13.76,23.68,9,13.25,19.29,30.68,7,26.72,35.37,62.34,0,5.98,6.68,10.27,9,6.96,9.07,11.98,9,9.03,11.46,15.57,9,13.71,14.83,18.79,9,19.29,21.48,23.99,9,32.1,34.85,45.08,0,7.42,13.29
bitget,USELESS,9,3.62,4.66,8.19,9,4.12,5.76,10.33,9,4.33,7.88,11.85,9,6.37,9.28,16.81,9,9.37,11.51,20.35,9,16.79,18.83,28.31,8,3.42,4.81,8.18,9,4.45,5.71,8.68,9,5.27,7.53,10.3,9,7.81,9.05,12.64,9,10.54,12.47,16.95,9,16.52,22.26,25.68,7,8.29,14.57
bitget,WIF,9,2.5,3.51,5.4,9,4.06,5.56,6.49,9,6.26,6.79,7.14,9,7.0,7.21,7.35,9,7.52,8.88,9.55,9,10.67,11.73,15.89,9,2.54,4.85,5.61,9,4.08,6.25,6.73,9,6.2,7.07,7.4,9,6.91,7.38,7.7,9,7.41,7.73,10.66,9,8.56,10.58,18.31,9,5.07,5.23
bitget,XMR,9,3.85,4.78,5.78,9,3.85,4.81,6.81,9,3.85,4.83,9.06,9,4.01,5.59,9.81,9,5.33,7.71,10.19,9,8.07,11.31,14.24,9,4.73,5.95,6.23,9,5.3,6.48,8.22,9,5.79,7.03,10.11,9,6.93,8.07,11.34,9,8.49,10.1,14.55,9,8.52,12.75,19.25,9,9.02,10.75
bitget,ZRO,9,2.99,4.87,6.13,9,4.02,6.93,8.25,9,6.11,9.4,11.77,9,8.62,12.06,16.56,9,10.71,15.59,19.53,9,16.0,22.73,25.02,8,3.2,4.62,7.18,9,3.55,7.21,8.17,9,4.93,9.84,11.83,9,7.39,12.08,15.05,9,9.03,15.69,19.95,9,13.47,19.71,24.09,9,3.01,4.98
bybit,AR,9,4.79,8.18,12.0,9,6.86,12.64,15.13,9,10.7,17.57,24.04,9,15.11,28.77,34.81,4,21.41,42.77,51.51,1,51.34,73.21,86.88,0,6.32,9.17,13.08,9,9.18,12.9,15.52,9,14.93,20.42,23.04,9,21.38,26.12,32.43,3,28.24,33.55,48.39,0,50.16,70.94,90.29,0,8.97,13.55
bybit,BTW,9,7.54,8.84,12.29,9,9.66,11.94,17.64,9,14.16,19.03,29.96,8,21.45,26.46,53.72,3,34.7,45.83,86.34,0,54.41,97.64,149.59,0,4.7,7.57,14.37,9,7.27,9.6,19.84,9,12.09,15.07,27.67,8,17.8,23.01,40.37,6,19.79,38.41,72.62,1,24.76,74.53,88.78,1,3.48,6.77
bybit,FIL,9,1.85,2.78,3.57,9,2.44,3.64,4.47,9,3.87,5.69,6.56,9,4.89,6.92,8.84,9,5.79,8.45,11.27,9,9.04,11.85,14.65,9,0.66,2.15,3.0,9,1.45,3.05,4.01,9,3.02,4.54,6.19,9,3.58,6.09,7.58,9,4.74,8.31,8.81,9,6.72,11.19,12.05,9,1.3,2.53
bybit,KAS,9,4.15,5.05,8.54,9,5.11,6.65,9.47,9,5.43,8.26,11.71,9,7.23,10.46,13.17,9,10.96,14.55,15.29,9,19.2,22.23,26.03,5,4.24,5.16,6.96,9,5.27,6.71,8.49,9,6.76,8.58,10.98,9,8.88,10.84,13.29,9,12.06,14.38,17.44,9,19.15,23.87,27.78,8,3.67,7.32
bybit,KITE,9,8.1,10.52,12.76,9,11.18,12.57,18.31,9,14.0,19.19,25.39,8,21.0,29.21,41.35,2,42.94,54.75,75.72,0,70.54,145.64,202.24,0,8.32,10.75,17.88,9,11.9,13.68,26.25,8,17.66,22.54,39.78,7,29.78,38.16,56.47,0,48.63,76.02,110.89,0,78.19,262.65,318.37,0,13.85,17.5
bybit,LDO,9,2.71,3.21,4.82,9,3.41,3.93,7.11,9,3.85,4.84,8.83,9,4.08,6.58,10.63,9,7.08,8.72,12.69,9,13.36,15.75,17.83,9,1.36,3.72,5.64,9,2.28,3.94,6.76,9,3.54,5.24,8.23,9,5.23,7.39,11.01,9,7.72,9.96,14.47,9,14.41,16.77,21.2,9,2.77,5.4
