coin,short_venue,long_venue,iv_short,iv_long,overlap_days,apr_90d,apr_30d,apr_14d,pos_day_frac,persist_3bps,persist_10bps,persist_25bps,cond1_pos,cond7_pos,n_episodes,med_ep_days,max_ep_days,med_ep_slope_apr_day,trend_apr_pts_day,trend7_apr_pts_day,max_dd_notional,daily_std,live_gross_apr,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,net_apr_ep_hold,flag
BEAT,aster,bitget,1.0,4.0,89.875,0.25952,0.241974,0.18326,0.89011,0.648352,0.241758,0.065934,0.888889,0.839506,9,4,33,-0.011485,-0.003304,-0.003269,0.003509,0.000975,0.0,0.002,0.207377,0.235186,0.07702,E1
KITE,aster,bybit,1.0,4.0,89.875,0.198829,0.219558,0.342233,1.0,0.56044,0.142857,0.010989,0.989011,0.923077,1,91,91,-7.3e-05,-7.3e-05,-0.000327,0.00011,0.00042,0.0,0.0019,0.149293,0.175712,0.191208,E1
BEAT,aster,okx,1.0,4.0,89.916667,0.265296,0.213839,0.132553,0.846154,0.725275,0.274725,0.043956,0.87013,0.792208,10,4,33,-0.02495,-0.003379,-0.003478,0.003509,0.000907,0.05475,0.0018,0.218367,0.243396,0.101046,E1
KITE,aster,bitget,1.0,4.0,89.875,0.201978,0.211597,0.34268,1.0,0.516484,0.142857,0.010989,0.989011,0.923077,1,91,91,-0.000494,-0.000494,-0.000765,3.8e-05,0.000448,0.0,0.002,0.149835,0.177645,0.193956,E1
KITE,aster,binance,1.0,4.0,89.875,0.192304,0.208587,0.335803,1.0,0.505495,0.120879,0.010989,0.989011,0.923077,1,91,91,-0.000152,-0.000152,-0.000413,3.8e-05,0.000413,0.0,0.0018,0.145376,0.170404,0.185085,E1
LAB,aster,bitget,1.0,1.0,89.916667,0.129982,0.18122,0.073024,0.714286,0.406593,0.263736,0.10989,0.830769,0.661538,11,1,34,-0.003318,0.00155,0.001029,0.035753,0.002584,0.0,0.002,0.077839,0.105649,,E1
VVV,aster,bybit,1.0,4.0,89.875,-0.015644,0.178416,0.213817,0.747253,0.340659,0.043956,0.0,0.941176,0.794118,4,8,53,0.004216,0.007169,0.006773,0.027977,0.000985,0.0,0.0019,-0.06518,-0.038761,-0.102332,E1
VVV,aster,binance,1.0,4.0,89.875,-0.013592,0.17808,0.215977,0.758242,0.285714,0.043956,0.0,0.927536,0.797101,5,4,53,0.004362,0.006998,0.006611,0.027019,0.000974,0.0,0.0018,-0.060521,-0.035492,-0.177842,E1
VVV,aster,bitget,1.0,4.0,89.875,-0.022835,0.174397,0.211549,0.758242,0.285714,0.043956,0.0,0.927536,0.797101,5,4,53,0.004288,0.007244,0.006801,0.028578,0.001006,0.0,0.002,-0.074977,-0.047168,-0.205335,E1
FIL,aster,hl,1.0,1.0,90.0,0.125265,0.13284,0.115417,0.923077,0.494505,0.010989,0.0,0.964286,0.857143,3,28,48,0.001522,0.000165,8.2e-05,0.000201,0.000289,0.0,0.0017,0.080944,0.104582,0.103105,E1
SPX,aster,dydx,1.0,1.0,41.666667,0.112697,0.131304,0.167954,0.976744,0.465116,0.0,0.0,0.952381,0.833333,2,39,39,0.027977,0.003212,0.003859,0.000167,0.000193,0.1095,0.0018,0.065769,0.090797,0.095851,E1
GRAM,aster,bybit,1.0,4.0,61.0,0.081674,0.124666,0.19898,0.854839,0.209677,0.048387,0.0,0.886792,0.754717,6,6,26,-0.001139,0.00253,0.002362,0.002069,0.000359,0.0,0.0019,0.032138,0.058557,-0.033909,E1
USELESS,aster,binance,1.0,4.0,89.875,0.224678,0.124192,0.079976,1.0,0.428571,0.175824,0.043956,0.989011,0.923077,1,91,91,-0.004039,-0.004039,-0.003718,9.8e-05,0.000688,0.133962,0.0018,0.177749,0.202778,0.217458,E1
AEON,aster,bybit,1.0,4.0,19.041667,0.128631,0.122467,0.034015,0.6,0.6,0.25,0.0,0.75,0.416667,3,2,8,0.013637,-0.034417,-0.029896,0.003665,0.000903,0.0,0.0019,0.079095,0.105514,-0.218119,E1
GRAM,aster,binance,1.0,4.0,61.0,0.089092,0.121594,0.194019,0.903226,0.193548,0.032258,0.0,0.892857,0.785714,6,8,26,-0.003721,0.00218,0.002215,0.001613,0.000334,0.0,0.0018,0.042164,0.067192,0.006967,E1
WIF,aster,dydx,1.0,1.0,41.666667,0.129783,0.12071,0.106602,1.0,0.930233,0.0,0.0,0.976744,0.837209,1,43,43,-0.001046,-0.001046,-0.000306,7e-06,8.9e-05,0.1095,0.0018,0.082855,0.107883,0.114504,E1
GRAM,aster,bitget,1.0,4.0,61.0,0.064947,0.119041,0.195295,0.83871,0.177419,0.032258,0.0,0.903846,0.730769,5,6,26,-0.002336,0.003098,0.002844,0.002984,0.000401,0.0,0.002,0.012804,0.040614,-0.056719,E1
LAB,aster,bybit,1.0,1.0,89.916667,0.648876,0.114437,0.014452,0.56044,0.373626,0.230769,0.131868,0.588235,0.470588,21,2,8,-0.001097,-0.013277,-0.022335,0.109098,0.021392,0.0,0.0019,0.599341,0.62576,0.302126,E1
USELESS,aster,okx,1.0,4.0,89.916667,0.227346,0.111347,0.088019,1.0,0.43956,0.175824,0.043956,0.989011,0.923077,1,91,91,-0.004407,-0.004407,-0.004212,0.000126,0.000709,0.320129,0.0018,0.180418,0.205446,0.220127,E1
USELESS,aster,bitget,1.0,4.0,89.875,0.221044,0.108899,0.071427,1.0,0.417582,0.175824,0.043956,0.989011,0.923077,1,91,91,-0.004342,-0.004342,-0.004065,0.000116,0.000695,0.0,0.002,0.168901,0.19671,0.213022,E1
FIL,aster,dydx,1.0,1.0,41.666667,0.110349,0.108485,0.106719,1.0,0.860465,0.0,0.0,0.976744,0.837209,1,43,43,0.000102,0.000102,0.000659,5e-06,4.4e-05,0.1095,0.0018,0.063421,0.088449,0.09507,E1
FET,aster,binance,1.0,8.0,89.708333,0.110306,0.106466,0.103899,1.0,0.461538,0.0,0.0,0.989011,0.923077,1,91,91,-1e-05,-1e-05,0.000113,3.4e-05,4.1e-05,0.03515,0.0018,0.063378,0.088406,0.103087,E1
LIT,aster,bybit,1.0,4.0,89.875,0.092774,0.104889,0.144584,0.879121,0.318681,0.021978,0.0,0.925,0.775,6,13,32,-0.000594,6.3e-05,-0.00012,0.003363,0.000364,0.148175,0.0019,0.043238,0.069657,0.039428,E1
SPX,aster,bybit,1.0,4.0,89.875,0.031827,0.104081,0.140905,0.791209,0.087912,0.0,0.0,0.875,0.708333,9,4,36,0.001784,0.002083,0.001919,0.004979,0.000442,0.0,0.0019,-0.017709,0.00871,-0.141548,E1
SPX,aster,bitget,1.0,4.0,89.875,0.030185,0.104081,0.140905,0.791209,0.087912,0.0,0.0,0.875,0.708333,9,4,36,0.001784,0.002153,0.001996,0.005149,0.000446,0.0,0.002,-0.021958,0.005852,-0.152315,E1
SPX,aster,binance,1.0,4.0,89.875,0.031946,0.10396,0.140646,0.791209,0.098901,0.0,0.0,0.875,0.708333,9,4,36,0.001784,0.002057,0.001882,0.004902,0.000429,0.0,0.0018,-0.014982,0.010046,-0.132304,E1
LDO,aster,dydx,1.0,1.0,41.666667,0.107033,0.1037,0.099355,1.0,0.488372,0.0,0.0,0.976744,0.837209,1,43,43,-0.000177,-0.000177,0.000366,3e-05,4.7e-05,0.1095,0.0018,0.060105,0.085133,0.091754,E1
ZEN,aster,dydx,1.0,1.0,41.666667,0.104798,0.103462,0.10009,1.0,0.302326,0.0,0.0,0.976744,0.837209,1,43,43,3.1e-05,3.1e-05,0.000671,2.9e-05,4.8e-05,0.071394,0.0018,0.057869,0.082898,0.089519,E1
FIL,aster,bybit,1.0,8.0,89.708333,0.107492,0.103373,0.099861,1.0,0.351648,0.0,0.0,0.989011,0.923077,1,91,91,-6.8e-05,-6.8e-05,3.6e-05,8e-06,4.1e-05,0.0,0.0019,0.057956,0.084375,0.099871,E1
FIL,aster,binance,1.0,8.0,89.708333,0.106499,0.101842,0.09861,1.0,0.307692,0.0,0.0,0.989011,0.923077,1,91,91,-0.000107,-0.000107,-2.4e-05,8e-06,4.2e-05,0.050534,0.0018,0.059571,0.084599,0.099279,E1
FIL,aster,bitget,1.0,8.0,89.708333,0.102919,0.098304,0.097526,1.0,0.208791,0.0,0.0,0.989011,0.923077,1,91,91,-0.000113,-0.000113,-2e-05,8e-06,3.9e-05,0.0,0.002,0.050776,0.078585,0.094897,E1
ZRO,aster,dydx,1.0,1.0,41.666667,0.100616,0.097451,0.086017,0.976744,0.511628,0.0,0.0,0.952381,0.809524,2,32,32,0.000598,-0.000222,0.000176,0.000663,0.00011,0.1095,0.0018,0.053688,0.078716,0.080085,E1
FET,aster,bitget,1.0,8.0,89.708333,0.100421,0.0972,0.096096,1.0,0.10989,0.0,0.0,0.989011,0.923077,1,91,91,-5e-05,-5e-05,6.2e-05,3.4e-05,4e-05,0.0,0.002,0.048278,0.076087,0.092399,E1
ZEN,aster,bybit,1.0,8.0,89.708333,0.093757,0.095237,0.088212,1.0,0.131868,0.0,0.0,0.989011,0.923077,1,91,91,4.4e-05,4.4e-05,0.000155,6.9e-05,4.9e-05,0.212835,0.0019,0.044221,0.07064,0.086136,E1
USELESS,aster,bybit,1.0,4.0,89.875,0.210856,0.094938,0.064222,0.967033,0.384615,0.164835,0.043956,0.954545,0.886364,4,24,60,-0.006616,-0.004573,-0.004316,0.000204,0.000712,0.0,0.0019,0.161321,0.18774,0.181961,E1
ICP,aster,dydx,1.0,1.0,41.666667,0.085027,0.094918,0.105085,0.976744,0.325581,0.0,0.0,0.952381,0.809524,2,35,35,0.005436,0.001427,0.001788,0.000223,8.6e-05,0.1095,0.0018,0.038098,0.063127,0.066255,E1
LDO,aster,bybit,1.0,8.0,89.708333,0.099348,0.094304,0.088643,1.0,0.164835,0.0,0.0,0.989011,0.923077,1,91,91,-0.000111,-0.000111,1.8e-05,3.9e-05,3.7e-05,0.0,0.0019,0.049812,0.076231,0.091727,E1
AR,aster,bybit,1.0,8.0,89.708333,0.087731,0.092603,0.094063,1.0,0.043956,0.0,0.0,0.989011,0.923077,1,91,91,0.000154,0.000154,0.000202,0.000107,5e-05,0.0,0.0019,0.038195,0.064614,0.08011,E1
ZEN,aster,binance,1.0,8.0,89.708333,0.090746,0.092098,0.087859,1.0,0.021978,0.0,0.0,0.989011,0.923077,1,91,91,2.4e-05,2.4e-05,0.000123,4.7e-05,4e-05,0.046636,0.0018,0.043817,0.068846,0.083526,E1
LDO,aster,binance,1.0,8.0,89.708333,0.097866,0.091971,0.088031,1.0,0.043956,0.0,0.0,0.989011,0.923077,1,91,91,-0.000158,-0.000158,-4.7e-05,3e-05,3.4e-05,0.0,0.0018,0.050937,0.075966,0.090646,E1
