coin,short_venue,long_venue,long_leg_n,hours,days,pos_frac,median_spread_apr,mean_spread_apr,p25_spread_apr,slope_apr_pts_day,short_leg_median_apr,long_leg_median_apr,rt_stress_pct,net_apr_30d_pct,net_apr_14d_pct,breakeven_days,short_venue_reachable,long_venue_reachable
URNM,binance,GRVT,180,1433,59.7,0.107,0.0,-17.2,-29.3,0.418,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
URNM,binance,HTX,180,1433,59.7,0.173,0.0,-2.1,-10.9,0.257,0.0,0.0,0.4,-4.9,-10.4,,untested,reachable
URNM,binance,MEXC,180,1433,59.7,0.096,0.0,-0.3,0.0,0.012,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
URNM,binance,LBank,180,801,33.4,0.02,0.0,0.3,0.0,-0.046,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
URNM,binance,Variational,180,801,33.4,0.18,0.0,1.2,0.0,-0.058,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
ATOM,aster,edgeX,270,1417,59.0,0.02,0.0,0.3,0.0,0.121,10.9,10.9,0.38,-4.6,-9.9,,untested,blocked
ATOM,aster,GRVT,270,1417,59.0,0.113,0.0,-0.7,0.0,-0.254,10.9,10.9,0.38,-4.6,-9.9,,untested,blocked
ATOM,aster,HTX,270,1417,59.0,0.0,0.0,-2.6,0.0,-0.149,10.9,10.9,0.38,-4.6,-9.9,,untested,reachable
ATOM,aster,WhiteBIT,270,1417,59.0,0.0,0.0,-2.6,0.0,-0.145,10.9,10.9,0.38,-4.6,-9.9,,untested,reachable
CRV,bybit,ApeX,270,1417,59.0,0.025,0.0,-5.3,-9.1,0.06,10.8,10.9,0.41,-5.0,-10.7,,untested,blocked
CRV,bybit,Backpack,270,1417,59.0,0.069,0.0,-3.3,-8.9,0.063,10.8,10.9,0.41,-5.0,-10.7,,untested,reachable
CRV,okx,BitMEX,276,405,16.9,0.0,0.0,-3.2,-4.2,-0.25,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
CRV,bybit,edgeX,270,1417,59.0,0.003,0.0,5.1,-9.2,1.067,10.8,10.9,0.41,-5.0,-10.7,,untested,blocked
CRV,bybit,BingX,270,1417,59.0,0.011,0.0,-5.6,-8.4,0.075,10.8,10.9,0.41,-5.0,-10.7,,untested,reachable
CRV,binance,Bitunix,270,1417,59.0,0.113,0.0,-3.2,-4.7,-0.007,8.6,10.9,0.4,-4.9,-10.4,,untested,blocked
CRV,okx,GRVT,276,1417,59.0,0.0,0.0,-3.0,-4.0,0.025,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
CRV,binance,KuCoin,270,1417,59.0,0.135,0.0,-2.2,-6.8,-0.058,8.6,10.9,0.4,-4.9,-10.4,,untested,reachable
CRV,bybit,MEXC,270,1417,59.0,0.068,0.0,-4.6,-7.5,0.034,10.8,10.9,0.41,-5.0,-10.7,,untested,blocked
CRV,okx,WhiteBIT,276,1417,59.0,0.0,0.0,-3.0,-4.0,0.025,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
CRV,bybit,LBank,270,169,7.0,0.142,0.0,-2.4,-5.1,-0.901,10.9,10.9,0.41,-5.0,-10.7,,untested,blocked
ETHFI,binance,HTX,539,1421,59.2,0.0,0.0,-7.9,-2.3,-0.339,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
ETHFI,binance,WhiteBIT,539,1421,59.2,0.0,0.0,-1.9,0.0,0.01,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
INJ,aster,ApeX,270,1417,59.0,0.117,0.0,-4.2,-7.3,-0.178,10.9,10.9,0.38,-4.6,-9.9,,untested,blocked
INJ,aster,WhiteBIT,270,1417,59.0,0.0,0.0,-6.0,-7.7,-0.103,10.9,10.9,0.38,-4.6,-9.9,,untested,reachable
MINA,binance,BingX,157,1433,59.7,0.05,0.0,-7.6,-7.3,-0.178,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
MINA,binance,Bitunix,157,1433,59.7,0.324,0.0,-0.1,0.0,0.022,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
MINA,binance,MEXC,157,1433,59.7,0.252,0.0,-0.0,0.0,0.006,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
MINA,binance,WhiteBIT,157,1433,59.7,0.0,0.0,-11.5,-14.5,-0.295,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
MINA,binance,LBank,157,801,33.4,0.121,0.0,0.0,0.0,-0.0,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
MINA,binance,KuCoin,157,753,31.4,0.331,0.0,1.1,0.0,-0.306,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
NVDA,binance,GRVT,279,1417,59.0,0.085,0.0,-7.9,0.0,0.561,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
NVDA,binance,HTX,279,1417,59.0,0.147,0.0,1.3,0.0,0.03,0.0,0.0,0.4,-4.9,-10.4,,untested,reachable
NVDA,binance,LBank,279,169,7.0,0.047,0.0,-0.3,0.0,-0.086,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
SHAZ,binance,HTX,129,1025,42.7,0.165,0.0,-18.0,-12.2,1.653,0.0,0.0,0.4,-4.9,-10.4,,untested,reachable
SHAZ,binance,LBank,129,801,33.4,0.0,0.0,-0.0,0.0,0.001,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
SHAZ,binance,MEXC,129,777,32.4,0.248,0.0,0.1,0.0,-0.028,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
SHAZ,binance,Variational,129,625,26.0,0.179,0.0,-1.1,-3.0,0.244,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
ZHIPU,binance,HTX,139,1105,46.0,0.251,0.0,-16.7,-10.9,1.607,0.0,0.0,0.4,-4.9,-10.4,,untested,reachable
ZHIPU,binance,LBank,139,785,32.7,0.297,0.0,32.8,0.0,-3.596,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
ZHIPU,binance,MEXC,139,761,31.7,0.254,0.0,8.7,0.0,0.713,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
