venue,symbol,market,asset_class,mechanism,rate,interval_h,apr,oi_usd,stale,suspect
grvt,CRCL,CRCL_USDT_Perp,equity,standard,0.0001,8.0,0.1095,66813.81075251939,False,False
hyperliquid,CRCL,xyz:CRCL,equity,builder_set,1.58837e-05,1.0,0.139141212,62271163.142848,False,False
kraken,CRCL,PF_CRCLXUSD,equity,standard,3.800055567182228e-05,1.0,0.3328848676851632,838288.7196314478,False,False
lighter,CRCL,CRCL,equity,standard,3.2e-05,8.0,0.03504,706623.719666,False,False
okx,CRCL,CRCL-USDT-SWAP,equity,standard,7.20989456071e-05,8.0,0.0789483454397745,18596429.327,False,False
orderly,CRCL,PERP_CRCL_USDC_mythos,equity,standard,9.978e-05,8.0,0.1092591,1263.2319999999997,False,False
ostium,CRCL,CRCL,equity,funding_plus_borrow,0.0,1.0,0.0,55400.65037711003,False,False
pacifica,CRCL,CRCL,equity,standard,1.25e-05,1.0,0.1095,159325.86238465802,False,False
aster,CRDO,CRDOUSDT,equity,standard,0.00027549,8.0,0.30166155,58969.2923777136,False,False
binance,CRDO,CRDOUSDT,equity,standard,0.00047614,8.0,0.5213733,5171651.018726041,False,False
bitget,CRDO,CRDOUSDT,equity,standard,0.000498,8.0,0.54531,2341333.2162000025,False,False
bybit,CRDO,CRDOUSDT,equity,standard,7.291e-05,8.0,0.07983645,387776.0742,False,False
gate,CRDO,CRDO_USDT,equity,standard,0.0,8.0,0.0,406074.022,False,False
okx,CRDO,CRDO-USDT-SWAP,equity,standard,0.000553362190024,8.0,0.6059315980762799,1160113.9679999996,False,False
paragon,CRDO,para:CRDO,equity,builder_set,0.0001625224,1.0,1.423696224,1849890.4722000002,False,False
aster,CRM,CRMUSDT,equity,standard,0.0,8.0,0.0,17983.6063157008,False,False
binance,CRM,CRMUSDT,equity,standard,0.0,8.0,0.0,3186536.1084999996,False,False
bitget,CRM,CRMUSDT,equity,standard,0.0,8.0,0.0,849142.3199999993,False,False
bybit,CRM,CRMUSDT,equity,standard,0.0,8.0,0.0,352048.9,False,False
gate,CRM,CRM_USDT,equity,standard,0.0,8.0,0.0,266005.68799999997,False,False
grvt,CRM,CRM_USDT_Perp,equity,standard,0.0,8.0,0.0,704.63726996626,False,False
okx,CRM,CRM-USDT-SWAP,equity,standard,0.0,8.0,0.0,641560.9635,False,False
aster,CRWD,CRWDUSDT,equity,standard,0.0,8.0,0.0,12228.83442029,False,False
binance,CRWD,CRWDUSDT,equity,standard,0.0,8.0,0.0,1718210.6279995877,False,False
bitget,CRWD,CRWDUSDT,equity,standard,0.0,8.0,0.0,453757.8960000007,False,False
bybit,CRWD,CRWDUSDT,equity,standard,0.0,8.0,0.0,241585.59149999995,False,False
grvt,CRWD,CRWD_USDT_Perp,equity,standard,0.0,8.0,0.0,443.03735151328004,False,False
hyperliquid,CRWD,xyz:CRWD,equity,builder_set,6.25e-06,1.0,0.05475,700238.3752,False,False
okx,CRWD,CRWD-USDT-SWAP,equity,standard,0.0,8.0,0.0,249732.8974,False,False
paragon,CRWD,para:CRWD,equity,builder_set,7.5e-06,1.0,0.06570000000000001,60288.6192,False,False
aster,CRWV,CRWVUSDT,equity,standard,0.00010983,8.0,0.12026384999999999,43202.6513641065,False,False
avantis,CRWV,CRWV/USD,equity,funding_plus_borrow,0.0,1.0,0.0,1000.0,False,False
binance,CRWV,CRWVUSDT,equity,standard,0.0,8.0,0.0,4783943.2992,False,False
bitget,CRWV,CRWVUSDT,equity,standard,0.0,8.0,0.0,1927558.8384000023,False,False
bybit,CRWV,CRWVUSDT,equity,standard,0.0,8.0,0.0,656349.2208,False,False
gate,CRWV,CRWV_USDT,equity,standard,0.0,8.0,0.0,1911820.3037999999,False,False
hyperliquid,CRWV,xyz:CRWV,equity,builder_set,6.25e-06,1.0,0.05475,8498370.283680001,False,False
lighter,CRWV,CRWV,equity,standard,3.2e-05,8.0,0.03504,52946.138148,False,False
okx,CRWV,CRWV-USDT-SWAP,equity,standard,1.8547785339e-05,8.0,0.020309824946205,1788772.8869999999,False,False
aster,CSCO,CSCOUSDT,equity,standard,0.0,8.0,0.0,3855.5382654838004,False,False
binance,CSCO,CSCOUSDT,equity,standard,0.0,8.0,0.0,685578.0782952834,False,False
bitget,CSCO,CSCOUSDT,equity,standard,0.0,8.0,0.0,214815.87020000003,False,False
bybit,CSCO,CSCOUSDT,equity,standard,0.0,8.0,0.0,205667.27279999998,False,False
gate,CSCO,CSCO_USDT,equity,standard,0.0,8.0,0.0,125071.84,False,False
grvt,CSCO,CSCO_USDT_Perp,equity,standard,0.0,8.0,0.0,4004.8144404887494,False,False
okx,CSCO,CSCO-USDT-SWAP,equity,standard,0.0,8.0,0.0,269506.531,False,False
binance,CSOPSAMSUNG2L,CSOPSAMSUNG2LUSDT,equity,standard,0.00081433,8.0,0.8916913500000001,766155.5073,False,False
gate,CSOPSAMSUNG2L,CSOPSAMSUNG2L_USDT,equity,standard,0.0,8.0,0.0,5706.288,False,False
bitget,CSOPSK2LHKD,CSOPSK2LHKDUSDT,equity,standard,0.000602,8.0,0.6591899999999999,1647409.2902399884,False,False
binance,CSOPSKHYNIX2L,CSOPSKHYNIX2LUSDT,equity,standard,0.00221717,8.0,2.42780115,2574339.294894479,False,False
gate,CSOPSKHYNIX2L,CSOPSKHYNIX2L_USDT,equity,standard,0.0,8.0,0.0,55307.574,False,False
bitget,CSOPSS2LHKD,CSOPSS2LHKDUSDT,equity,standard,7.9e-05,8.0,0.086505,448707.45920000254,False,False
gate,CVS,CVS_USDT,equity,standard,0.0,8.0,0.0,27232.638,False,False
ostium,CVX,CVX,equity,funding_plus_borrow,0.0,1.0,0.0,4253.5270548435265,False,False
apex,CXMT,CXMT-USDT,preipo,standard,1.25e-05,1.0,0.1095,73816.5712,False,False
aster,CXMT,CXMTUSDT,preipo,standard,0.0,8.0,0.0,183477.52581334798,False,False
binance,CXMT,CXMTUSDT,preipo,standard,0.0,8.0,0.0,4704862.719035059,False,False
bitget,CXMT,CXMTUSDT,preipo,standard,0.0,8.0,0.0,869348.84096,False,False
bybit,CXMT,CXMTUSDT,preipo,standard,-5.615e-05,8.0,-0.061484250000000004,852509.5451000001,False,False
gate,CXMT,CXMT_USDT,preipo,standard,0.0,1.0,0.0,3015364.086,False,False
hyperliquid,CXMT,xyz:CXMT,preipo,builder_set,-0.0001040486,1.0,-0.911465736,53947676.706,False,False
lighter,CXMT,CXMT,preipo,standard,-0.000152,8.0,-0.16644,142260.902472,False,False
okx,CXMT,CXMT-USDT-SWAP,preipo,standard,0.0001291091731588,8.0,0.141374544608886,1565846.36,False,False
ostium,DAX,DAX,index,funding_plus_borrow,0.0,1.0,0.0,13219.196450554533,False,False
binance,DDOG,DDOGUSDT,equity,standard,0.0,8.0,0.0,70392.784,False,False
bitget,DDOG,DDOGUSDT,equity,standard,0.0,8.0,0.0,62706.00199999986,False,False
bybit,DDOG,DDOGUSDT,equity,standard,0.0,8.0,0.0,61099.4722,False,False
gate,DDOG,DDOG_USDT,equity,standard,0.0,8.0,0.0,31166.569,False,False
bitget,DE,DEUSDT,equity,standard,-0.000421,8.0,-0.460995,26153.994000000086,False,False
gate,DEEPTECH,DEEPTECH_USDT,equity,standard,0.0,8.0,0.0,18378.576,False,False
aster,DELL,DELLUSDT,equity,standard,0.0,8.0,0.0,56846.8753967196,False,False
binance,DELL,DELLUSDT,equity,standard,0.0,8.0,0.0,11938056.888689803,False,False
bitget,DELL,DELLUSDT,equity,standard,0.0,8.0,0.0,3430930.1604000144,False,False
bybit,DELL,DELLUSDT,equity,standard,0.0,8.0,0.0,1031873.6619000001,False,False
gate,DELL,DELL_USDT,equity,standard,0.0,8.0,0.0,2097372.5396,False,False
grvt,DELL,DELL_USDT_Perp,equity,standard,0.0,8.0,0.0,494.416344332,False,False
hyperliquid,DELL,xyz:DELL,equity,builder_set,-1.23887e-05,1.0,-0.108525012,4576789.344,False,False
lighter,DELL,DELL,equity,standard,3.2e-05,8.0,0.03504,86355.930823,False,False
okx,DELL,DELL-USDT-SWAP,equity,standard,0.0,8.0,0.0,2590959.5608,False,False
orderly,DELL,PERP_DELL_USDC_mythos,equity,standard,9.916e-05,8.0,0.1085802,869.77273,False,False
gate,DEMINGLI,DEMINGLI_USDT,equity,standard,-0.0002,8.0,-0.219,2098.512,False,False
gate,DFDVX,DFDVX_USDT,equity,standard,0.0,8.0,0.0,47683.35,False,False
bitget,DFEN,DFENUSDT,equity,standard,0.0,8.0,0.0,559465.1927999996,False,False
bitget,DIA,DIASTOCKUSDT,etf,standard,0.0,8.0,0.0,42986.973000000005,False,False
aster,DIS,DISUSDT,equity,standard,0.0,8.0,0.0,2438.4229705094,False,False
binance,DIS,DISUSDT,equity,standard,0.0,8.0,0.0,587274.048,False,False
gate,DIS,DIS_USDT,equity,standard,0.0,8.0,0.0,167339.55,False,False
grvt,DIS,DIS_USDT_Perp,equity,standard,0.0,8.0,0.0,1003.2525101214001,False,False
bitget,DISK,DISKUSDT,equity,standard,0.0,8.0,0.0,18734.606400000004,False,False
ostium,DJI,DJI,index,funding_plus_borrow,0.0,1.0,0.0,52673.21564597381,False,False
binance,DJT,DJTUSDT,equity,standard,0.0,8.0,0.0,106327.06700000001,False,False
bitget,DJT,DJTUSDT,equity,standard,0.0,8.0,0.0,18165.17167999994,False,False
bybit,DJT,DJTUSDT,equity,standard,0.0,8.0,0.0,26922.333899999998,False,False
gate,DJT,DJT_USDT,equity,standard,0.0,8.0,0.0,2430.9739999999997,False,False
aster,DKNG,DKNGUSDT,equity,standard,0.0,8.0,0.0,10886.028326576201,False,False
binance,DKNG,DKNGUSDT,equity,standard,0.0,8.0,0.0,210517.78834288803,False,False
bitget,DKNG,DKNGUSDT,equity,standard,0.0,8.0,0.0,74654.83176000007,False,False
bybit,DKNG,DKNGUSDT,equity,standard,0.0,8.0,0.0,26998.4816,False,False
gate,DKNG,DKNG_USDT,equity,standard,0.0,8.0,0.0,59414.019400000005,False,False
hyperliquid,DKNG,xyz:DKNG,equity,builder_set,1.87646e-05,1.0,0.164377896,282474.036,False,False
okx,DKNG,DKNG-USDT-SWAP,equity,standard,0.0,8.0,0.0,108034.896,False,False
bitget,DOOSBOT,DOOSBOTUSDT,equity,standard,0.0,8.0,0.0,58440.79660000027,False,False
bitget,DOOSENER,DOOSENERUSDT,equity,standard,0.0,8.0,0.0,38099.06760000012,False,False
aster,DRAM,DRAMUSDT,etf,standard,3.32e-05,8.0,0.036354,316619.26558306,False,False
binance,DRAM,DRAMUSDT,etf,standard,0.00015405,8.0,0.16868475,48010894.8518,False,False
bitget,DRAM,DRAMUSDT,etf,standard,0.000161,8.0,0.176295,24401671.07039995,False,False
coinbase,DRAM,DRAM-PERP,etf,standard,3e-06,1.0,0.02628,919198.5088,False,False
gate,DRAM,DRAM_USDT,etf,standard,0.0,8.0,0.0,6120777.312,False,False
grvt,DRAM,DRAM_USDT_Perp,etf,standard,5e-06,8.0,0.005475000000000001,33419.7981715548,False,False
hyperliquid,DRAM,xyz:DRAM,etf,builder_set,8.7674e-06,1.0,0.076802424,85682093.31560005,False,False
lighter,DRAM,DRAM,etf,standard,0.000248,8.0,0.27156,592590.079368,False,False
okx,DRAM,DRAM-USDT-SWAP,etf,standard,0.0001690845504633,8.0,0.1851475827573135,5867932.938,False,False
