coin,long,short,gross_apr,net7,net30,iv_short,iv_long,vol_min,flag
SMCI,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
ZHONGJI,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
COMP,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
COMP,gate,bybit,0.0000,-0.1095,-0.0256,8.0,8,-1,
MRK,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
TSM,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
WIF,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
BMNR,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
MSFT,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
AMZN,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
BANANA,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
BANANA,gate,bybit,0.0000,-0.1095,-0.0256,4.0,8,-1,
EGLD,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
EGLD,gate,bybit,0.0000,-0.1095,-0.0256,8.0,8,-1,
RIVN,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
GAS,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
IBM,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
ORCA,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
GRAM,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
CRCL,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
VVV,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
DOGE,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
DOGE,gate,bybit,0.0000,-0.1095,-0.0256,8.0,8,-1,
QNT,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
QNT,gate,bybit,0.0000,-0.1095,-0.0256,8.0,8,-1,
AR,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
AR,gate,bybit,0.0000,-0.1095,-0.0256,8.0,8,-1,
XLE,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
JUP,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
TZA,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
EWZ,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
FLNC,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SQQQ,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
DELL,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SOXS,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
CRWV,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
CBRS,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
EUL,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
ILV,gate,bybit,0.0000,-0.1095,-0.0256,4.0,8,-1,
ARB,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
ARB,gate,bybit,0.0000,-0.1095,-0.0256,8.0,8,-1,
MU,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
OG,bybit,binance,0.0000,-0.1095,-0.0256,4,8.0,-1,
ADBE,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
LLY,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
AAPL,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
HIMS,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
AUCTION,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
AUCTION,gate,bybit,0.0000,-0.1095,-0.0256,4.0,8,-1,
LPT,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
IWM,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SKDD,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
EWJ,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SNOW,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
VRT,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
PYPL,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
COST,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
DJT,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
NVO,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
HPE,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
NFLX,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SKUU,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
TSLA,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
BE,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
RIVER,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
JPM,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
CAKE,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
FLEX,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
CIEN,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
HYUNDAI,bybit,binance,0.0000,-0.1095,-0.0256,4,8.0,-1,
EBAY,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
KSM,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
GLW,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SNDK,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
BSV,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
ORDI,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
IREN,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
COIN,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
OP,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
OP,gate,bybit,0.0000,-0.1095,-0.0256,8.0,8,-1,
TER,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
HD,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
CVX,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
CVX,gate,bybit,0.0000,-0.1095,-0.0256,4.0,8,-1,
LGELECTRONICS,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SONY,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
NBIS,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
XBI,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
UBER,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
WDC,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
NMR,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
NMR,gate,bybit,0.0000,-0.1095,-0.0256,4.0,8,-1,
BOT,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
PANW,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
ONDS,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
BRKB,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
FOLKS,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
FOLKS,gate,bybit,0.0000,-0.1095,-0.0256,4.0,8,-1,
SOFI,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
GEV,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
TRB,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
IONQ,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SMH,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
KLAC,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
RDDT,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
QCOM,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
ENS,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
ENS,gate,bybit,0.0000,-0.1095,-0.0256,8.0,8,-1,
AAOI,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
ASML,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
YFI,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
YFI,gate,bybit,0.0000,-0.1095,-0.0256,8.0,8,-1,
AXTI,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
CSCO,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SNXX,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
MARA,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
USAR,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
INTW,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SSV,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
V,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
OKB,gate,bybit,0.0000,-0.1095,-0.0256,4.0,8,-1,
BCH,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
NEAR,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
NEAR,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
MINIMAX,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
NVDA,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
SKHY,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
DRAM,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
DRAM,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
AMZN,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
AMZN,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
GRAM,bitget,binance,0.0000,-0.1147,-0.0268,4,4,-1,
CRCL,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
DOGE,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
DOGE,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
SOXL,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
MRVL,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
TAO,bitget,binance,0.0000,-0.1147,-0.0268,4,4,-1,
SOXS,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
SOXS,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
SPCX,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
CBRS,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
CBRS,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
INTC,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
MU,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
MU,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
PROM,bitget,binance,0.0000,-0.1147,-0.0268,4,4,-1,
AAPL,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
UNI,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
UNI,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
XRP,bitget,okx,0.0000,-0.1147,-0.0268,8,8,-1,
TSLA,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
RIVER,bitget,binance,0.0000,-0.1147,-0.0268,4,4,-1,
KORU,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
SNDK,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
SNDK,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
OP,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
OP,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
LTC,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
ETH,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
AMD,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
AMD,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
INJ,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
LINK,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
LIT,bitget,binance,0.0000,-0.1147,-0.0268,4,4,-1,
SNXX,bitget,binance,0.0000,-0.1147,-0.0268,8,8,-1,
SNXX,bitget,gate,0.0000,-0.1147,-0.0268,8,8,-1,
TAO,bitget,bybit,0.0006,-0.1194,-0.0274,4.0,4,-1,
NEAR,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
MINIMAX,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
NVDA,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
SKHY,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
DRAM,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
AMZN,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
MSTR,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
ENA,bitget,bybit,0.0000,-0.1199,-0.0280,4.0,4,-1,
GRAM,bitget,bybit,0.0000,-0.1199,-0.0280,4.0,4,-1,
CRCL,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
DOGE,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
MRNA,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
DASH,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
SOXS,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
CBRS,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
MU,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
AAPL,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
TSLA,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
RIVER,bitget,bybit,0.0000,-0.1199,-0.0280,4.0,4,-1,
KORU,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
SNDK,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
OP,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
SPY,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
XMR,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
QQQ,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
SNXX,bitget,bybit,0.0000,-0.1199,-0.0280,8.0,8,-1,
RDW,gate,bybit,2.6336,,,8.0,8,-1,QUARANTINE_long_leg_zero
SHAZ,gate,bybit,2.1496,,,8.0,8,-1,QUARANTINE_long_leg_zero
TMF,gate,binance,2.0825,,,8,8,-1,QUARANTINE_long_leg_zero
DKNG,gate,bybit,1.7372,,,8.0,8,-1,QUARANTINE_long_leg_zero
VST,gate,bybit,1.5106,,,8.0,8,-1,QUARANTINE_long_leg_zero
VST,gate,binance,1.4963,,,8,8,-1,QUARANTINE_long_leg_zero
XLU,gate,bybit,1.2695,,,8.0,8,-1,QUARANTINE_long_leg_zero
MEITUAN,gate,binance,1.2530,,,8,8,-1,QUARANTINE_long_leg_zero
QNTX,gate,binance,1.1432,,,8,8,-1,QUARANTINE_long_leg_zero
EWT,gate,bybit,1.0479,,,8.0,8,-1,QUARANTINE_long_leg_zero
BITO,gate,binance,1.0306,,,8,8,-1,QUARANTINE_long_leg_zero
PDD,gate,binance,1.0001,,,8,8,-1,QUARANTINE_long_leg_zero
ZM,gate,binance,0.8587,,,8,8,-1,QUARANTINE_long_leg_zero
INFQ,gate,bybit,0.8121,,,8.0,8,-1,QUARANTINE_long_leg_zero
GDX,gate,binance,0.7160,,,8,8,-1,QUARANTINE_long_leg_zero
MVLL,gate,bybit,0.6500,,,8.0,8,-1,QUARANTINE_long_leg_zero
PDD,gate,bybit,0.5851,,,8.0,8,-1,QUARANTINE_long_leg_zero
SOXL,gate,bybit,0.5166,,,8.0,8,-1,QUARANTINE_long_leg_zero
BSP,gate,binance,0.5055,,,8,8,-1,QUARANTINE_long_leg_zero
MVLL,gate,binance,0.4685,,,8,8,-1,QUARANTINE_long_leg_zero
KUAISHOU,gate,binance,0.3361,,,8,8,-1,QUARANTINE_long_leg_zero
INTC,gate,binance,0.3295,,,8,8,-1,QUARANTINE_long_leg_zero
MINIMAX,gate,binance,0.3277,,,8,8,-1,QUARANTINE_long_leg_zero
POPMART,gate,binance,0.3251,,,8,8,-1,QUARANTINE_long_leg_zero
ARM,gate,bybit,0.3181,,,8.0,8,-1,QUARANTINE_long_leg_zero
RKLB,gate,bybit,0.2827,,,8.0,8,-1,QUARANTINE_long_leg_zero
MRVL,gate,binance,0.2708,,,8,8,-1,QUARANTINE_long_leg_zero
MRVL,gate,bybit,0.2530,,,8.0,8,-1,QUARANTINE_long_leg_zero
BABA,gate,binance,0.2453,,,8,8,-1,QUARANTINE_long_leg_zero
AMAT,gate,binance,0.2438,,,8,8,-1,QUARANTINE_long_leg_zero
APP,gate,binance,0.2383,,,8,8,-1,QUARANTINE_long_leg_zero
QNTX,gate,bybit,0.2381,,,8.0,8,-1,QUARANTINE_long_leg_zero
AVGO,gate,binance,0.2367,,,8,8,-1,QUARANTINE_long_leg_zero
INTC,gate,bybit,0.2250,,,8.0,8,-1,QUARANTINE_long_leg_zero
TTWO,gate,binance,0.2027,,,8,8,-1,QUARANTINE_long_leg_zero
DDOG,gate,bybit,0.1888,,,8.0,8,-1,QUARANTINE_long_leg_zero
ASTS,gate,bybit,0.1843,,,8.0,8,-1,QUARANTINE_long_leg_zero
SOXL,gate,binance,0.1603,,,8,8,-1,QUARANTINE_long_leg_zero
RKLB,gate,binance,0.1586,,,8,8,-1,QUARANTINE_long_leg_zero
TENCENT,gate,binance,0.1555,,,8,8,-1,QUARANTINE_long_leg_zero
SHAZ,gate,binance,0.1449,,,8,8,-1,QUARANTINE_long_leg_zero
DKNG,gate,binance,0.1432,,,8,8,-1,QUARANTINE_long_leg_zero
UVXY,gate,binance,0.1320,,,8,8,-1,QUARANTINE_long_leg_zero
WMT,gate,binance,0.1230,,,8,8,-1,QUARANTINE_long_leg_zero
KO,gate,binance,0.1182,,,8,8,-1,QUARANTINE_long_leg_zero
BNB,aster,hl,0.1095,,,1.0,8,2919316.6205899995,QUARANTINE_long_leg_zero
BNB,aster,bitget,0.1095,,,8,8,3874405.5631,QUARANTINE_long_leg_zero
PAXG,gate,bybit,0.1095,,,4.0,8,-1,QUARANTINE_long_leg_zero
PAXG,gate,binance,0.0984,,,4,8,-1,QUARANTINE_long_leg_zero
XAUT,gate,binance,0.0762,,,4,8,-1,QUARANTINE_long_leg_zero
XAUT,gate,bitget,0.0745,,,4,8,-1,QUARANTINE_long_leg_zero
RAM,gate,binance,0.0684,,,8,8,-1,QUARANTINE_long_leg_zero
ARM,gate,binance,0.0659,,,8,8,-1,QUARANTINE_long_leg_zero
OPENAI,gate,binance,0.0548,,,8,8,-1,QUARANTINE_long_leg_zero
ANTHROPIC,gate,binance,0.0548,,,8,8,-1,QUARANTINE_long_leg_zero
MUU,gate,binance,0.0476,,,8,8,-1,QUARANTINE_long_leg_zero
BNB,aster,binance,0.0472,,,8,8,-1,QUARANTINE_long_leg_zero
PAXG,gate,bitget,0.0307,,,4,8,-1,QUARANTINE_long_leg_zero
ORCL,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
ORCL,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
GME,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
TEM,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
TEM,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
ALAB,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
ALAB,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
LITE,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
LITE,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
TTWO,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
NET,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
NET,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
XPD,gate,binance,0.0000,,,4,8,-1,QUARANTINE_long_leg_zero
EWY,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
EWY,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
XPT,gate,binance,0.0000,,,4,8,-1,QUARANTINE_long_leg_zero
MINIMAX,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
COHR,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
COHR,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
ASTS,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
DRAM,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
DRAM,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
GS,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
GS,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
LRCX,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
LRCX,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
NOW,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
NOW,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
SMCI,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
SMCI,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
ZHONGJI,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
ZHONGJI,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
MRK,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
MRK,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
WEN,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
TSM,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
TSM,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
HANMI,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
BMNR,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
BMNR,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
MSFT,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
MSFT,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
WMT,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
AMZN,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
AMZN,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
GIGADEV,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
NAVER,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
RIVN,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
RIVN,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
IBM,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
IBM,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
MEITUAN,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
CAT,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
SHOP,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
XLE,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
XLE,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
OPENAI,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
TZA,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
TZA,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
EWZ,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
EWZ,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
TBT,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
FLNC,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
FLNC,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
SQQQ,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
SQQQ,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
DELL,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
DELL,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
SOXS,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
SOXS,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
CBRS,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
CBRS,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
NOK,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
MU,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
MU,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
POPMART,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
GDX,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
ADBE,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
ADBE,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
LLY,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
LLY,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
HIMS,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
HIMS,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
TENCENT,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
IWM,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
IWM,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
SKDD,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
SKDD,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
EWJ,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
EWJ,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
SNOW,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
SNOW,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
VRT,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
VRT,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
PYPL,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
PYPL,gate,bybit,0.0000,,,8.0,8,-1,QUARANTINE_long_leg_zero
COST,gate,binance,0.0000,,,8,8,-1,QUARANTINE_long_leg_zero
