coin,long,short,gross_apr,net7,net30,iv_short,iv_long,vol_min,flag
BTC,dydx,hl,0.1095,0.0104,0.0864,1.0,1.0,3644583.815,
SOL,hl,bitget,0.1116,0.0021,0.0861,8,1.0,293492906.0481999,
HYPE,bitget,gate,0.1128,-0.0019,0.0860,8,4,-1,
XRP,bybit,binance,0.1114,0.0019,0.0859,8,8.0,-1,
GIGGLE,binance,gate,0.1085,0.0043,0.0842,8,4,-1,
AVAX,gate,bybit,0.1094,-0.0001,0.0839,8.0,8,-1,
RENDER,bybit,gate,0.1088,-0.0007,0.0832,8,4.0,-1,
BTC,dydx,bitget,0.1095,-0.0052,0.0827,8,1.0,3644583.815,
DOT,gate,bybit,0.1076,-0.0019,0.0820,8.0,8,-1,
CL,gate,binance,0.1062,0.0019,0.0818,4,8,-1,
ARB,bitget,hl,0.1062,-0.0033,0.0807,1.0,8,28422272.106492,
UNITREE,bybit,binance,0.1059,-0.0036,0.0803,4,8.0,-1,
PAXG,hl,gate,0.1033,0.0042,0.0802,8,1.0,-1,
HYPE,bitget,bybit,0.1078,-0.0121,0.0798,8.0,4,-1,
ARB,bitget,binance,0.1062,-0.0085,0.0794,8,8,-1,
ARB,bitget,gate,0.1062,-0.0085,0.0794,8,8,-1,
SOL,bybit,aster,0.1021,0.0030,0.0790,8,8.0,-1,
INTC,bybit,binance,0.1046,-0.0049,0.0790,8,8.0,-1,
SPY,bybit,binance,0.1040,-0.0055,0.0785,8,8.0,-1,
ARB,bitget,bybit,0.1062,-0.0137,0.0782,8.0,8,-1,
RIVER,gate,binance,0.1018,-0.0025,0.0775,4,8,-1,
SPY,bitget,binance,0.1040,-0.0107,0.0773,8,8,-1,
RIVER,gate,bybit,0.1018,-0.0077,0.0763,4.0,8,-1,
AVAX,bybit,hl,0.0999,-0.0044,0.0756,1.0,8.0,-1,
RIVER,gate,bitget,0.1018,-0.0129,0.0751,4,8,-1,
XRP,gate,hl,0.0975,-0.0016,0.0743,1.0,8,-1,
AVAX,bitget,binance,0.1011,-0.0136,0.0743,8,8,-1,
SOL,aster,bitget,0.0981,-0.0061,0.0738,8,8,106827561.95,
GMX,bybit,hl,0.0981,-0.0062,0.0738,1.0,8.0,-1,
XRP,bybit,gate,0.0991,-0.0104,0.0736,8,8.0,-1,
XRP,gate,okx,0.0975,-0.0068,0.0731,8,8,-1,
GMX,bybit,gate,0.0981,-0.0114,0.0726,8,8.0,-1,
CL,binance,bybit,0.0978,-0.0117,0.0722,8.0,4,-1,
FLUID,gate,binance,0.0953,-0.0090,0.0709,4,8,-1,
XRP,gate,bitget,0.0975,-0.0173,0.0707,8,8,-1,
TRUMP,bitget,okx,0.0973,-0.0174,0.0706,8,4,-1,
BTC,dydx,aster,0.0917,-0.0022,0.0698,8,1.0,3644583.815,
FLUID,gate,bybit,0.0953,-0.0142,0.0697,4.0,8,-1,
BTC,dydx,binance,0.0933,-0.0110,0.0689,8,1.0,-1,
APT,binance,hl,0.0912,-0.0079,0.0680,1.0,8,-1,
XAG,aster,bitget,0.0923,-0.0120,0.0680,4,4,7222388.87,
APT,binance,gate,0.0922,-0.0121,0.0679,8,8,-1,
BTC,dydx,gate,0.0920,-0.0123,0.0676,8,1.0,-1,
SSV,gate,binance,0.0920,-0.0123,0.0676,8,8,-1,
ZEC,binance,hl,0.0904,-0.0087,0.0672,1.0,8,-1,
SSV,gate,bybit,0.0920,-0.0175,0.0664,8.0,8,-1,
UNI,bybit,hl,0.0889,-0.0154,0.0645,1.0,8.0,-1,
SOL,bybit,hl,0.0886,-0.0157,0.0643,1.0,8.0,-1,
UNI,bybit,binance,0.0889,-0.0206,0.0633,8,8.0,-1,
UNI,bybit,gate,0.0889,-0.0206,0.0633,8,8.0,-1,
ADA,bybit,binance,0.0887,-0.0208,0.0631,8,8.0,-1,
ADA,binance,hl,0.0856,-0.0135,0.0624,1.0,8,-1,
XRP,binance,hl,0.0851,-0.0139,0.0620,1.0,8,-1,
ZRO,binance,hl,0.0850,-0.0141,0.0619,1.0,4,-1,
ZEN,binance,hl,0.0847,-0.0143,0.0616,1.0,8,-1,
ATOM,binance,bybit,0.0869,-0.0226,0.0614,8.0,8,-1,
ADA,binance,okx,0.0856,-0.0187,0.0612,8,8,-1,
ADA,binance,gate,0.0856,-0.0187,0.0612,8,8,-1,
BCH,gate,hl,0.0843,-0.0148,0.0612,1.0,8,-1,
